trat;x;fate;prop_sp
100-1;Germination;decreased;0.02
100-1;Germination;unchanged;0.96
100-1;Germination;stimulated;0.02
100-3;Germination;decreased;0.03
100-3;Germination;unchanged;0.83
100-3;Germination;stimulated;0.14
200 -1;Germination;decreased;0.27
200 -1;Germination;unchanged;0.58
200 -1;Germination;stimulated;0.15
100-1;Viability;decreased;0.02
100-1;Viability;unchanged;0.98
100-1;Viability;stimulated;0
100-3;Viability;decreased;0.11
100-3;Viability;unchanged;0.89
100-3;Viability;stimulated;0
200 -1;Viability;decreased;0.49
200 -1;Viability;unchanged;0.51
200 -1;Viability;stimulated;0
